Employee_Name,EmpID,MarriedID,GenderID,DeptID,New PayRate (hour),PositionID,State,DOB,DateofHire,DateofTermination,TermReason,EmploymentStatus,ManagerID,RecruitmentSource,PerformanceScore,EmpSatisfaction,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,PerformanceScore_Norm,PerformanceScore_Scaled,EmpSatisfaction_Scaled,Tenure,Age,AgeGroup
" Taylor, Tania     ",9084041398,1,1,5,20.0,19,MA,1968-05-30,2012-02-04,,N/A - still employed,Active,18,Diversity Job Fair,Fully Meets,3,11180,9694,14728,14031,9376,12989,10060,13972,8721,10463,18773,19970,3,0.6666666666666666,0.5,12.613698630136986,56,50-59
" Horne, Greta     ",9034511397,1,1,5,16.0,19,MA,1981-10-18,2011-02-21,,N/A - still employed,Active,18,On-campus Recruiting,Fully Meets,3,9114,14311,8851,12281,5389,13718,2524,11504,2094,10728,4618,19221,3,0.6666666666666666,0.5,13.567123287671233,42,40-49
" Snyder, Jordyn     ",9032361396,1,1,5,15.0,19,MA,1964-04-13,2014-06-01,2015-12-09,hours,Terminated for Cause,18,On-campus Recruiting,Fully Meets,5,10370,12829,13905,19544,5090,19836,6869,10106,6725,16468,3227,18119,3,0.6666666666666666,1.0,1.5232876712328767,60,60-69
" Collins, Alex     ",9013191395,0,1,5,15.0,19,MA,1983-05-21,2011-02-21,2014-11-01,more money,Terminated for Cause,18,On-campus Recruiting,Fully Meets,5,12710,17776,8249,4528,10335,14192,17330,8762,12888,15360,4232,13149,3,0.6666666666666666,1.0,3.695890410958904,41,40-49
" Walker, Harley     ",9060141394,0,0,5,16.8,19,MA,1983-12-02,2011-05-16,,N/A - still employed,Active,18,On-campus Recruiting,Fully Meets,5,3490,4434,12603,3488,16258,6791,8233,11310,15596,4478,14724,1892,3,0.6666666666666666,1.0,13.336986301369864,40,40-49
" Novak, Luka     ",9025501393,0,0,5,28.799999999999997,19,MA,1978-08-25,2014-03-31,,N/A - still employed,Active,18,Monster.com,Fully Meets,5,10012,19554,5948,12257,17962,18949,18788,8178,9552,6157,14748,2721,3,0.6666666666666666,1.0,10.46027397260274,46,40-49
" Riggs, Skylar     ",9022681392,0,0,5,25.5,19,MA,1974-05-31,2014-10-11,,N/A - still employed,Active,18,Monster.com,Fully Meets,5,19340,7854,3693,15964,8187,12913,9106,17885,8348,7741,8306,18499,3,0.6666666666666666,1.0,9.92876712328767,50,50-59
" Barrera, Shania     ",9058461391,0,1,5,15.75,19,MA,1977-03-31,2015-05-01,,N/A - still employed,Active,18,Billboard,Fully Meets,5,16480,14832,10553,2566,5152,16868,12279,8537,6065,3160,12009,4735,3,0.6666666666666666,1.0,9.375342465753425,47,40-49
" Fernandez, Trystan     ",9084621390,0,1,5,20.0,19,MA,1983-02-02,2014-03-31,,N/A - still employed,Active,18,Billboard,Fully Meets,5,2064,5243,5232,12307,14744,8278,9332,6988,15048,1715,14101,11457,3,0.6666666666666666,1.0,10.46027397260274,41,40-49
" Berg, Aimee     ",9058321389,1,0,5,24.0,19,MA,1983-07-20,2012-02-20,,N/A - still employed,Active,18,Billboard,Fully Meets,3,3708,7309,14016,6902,1981,19947,7672,17736,3151,10572,8567,1890,3,0.6666666666666666,0.5,12.56986301369863,41,40-49
" Scott, Kyson     ",9098421388,0,1,5,20.0,19,MA,1980-08-02,2012-08-13,,N/A - still employed,Active,18,Billboard,Fully Meets,3,15795,2166,10548,17890,14312,9129,9958,6691,2216,11419,17283,2658,3,0.6666666666666666,0.5,12.09041095890411,44,40-49
" Kirk, Lamar     ",9013451387,0,1,5,16.76,19,MA,1968-08-15,2012-05-14,2015-10-31,more money,Voluntarily Terminated,18,Monster.com,Fully Meets,3,19837,19819,3512,19856,19130,8257,4666,15852,10796,16080,10778,10488,3,0.6666666666666666,0.5,3.4657534246575343,56,50-59
" Wiggins, Drake     ",9083321386,0,0,5,18.0,19,MA,1988-07-10,2014-09-29,,N/A - still employed,Active,16,Glassdoor,Fully Meets,5,7300,15963,10000,19886,7696,8171,9291,8451,5879,7648,7313,2654,3,0.6666666666666666,1.0,9.961643835616439,36,30-39
" Santos, Lucy     ",9023891385,0,0,5,18.0,19,MA,1982-07-22,2011-05-16,,N/A - still employed,Active,16,Glassdoor,Fully Meets,5,11039,7363,19542,3127,17692,13892,7219,13522,13078,13391,10132,7769,3,0.6666666666666666,1.0,13.336986301369864,42,40-49
" Curry, Justice     ",9034011384,1,0,5,24.0,19,MA,1979-05-01,2011-07-02,2014-12-01,Another position,Voluntarily Terminated,16,Professional Society,Fully Meets,3,18711,10397,18464,2697,10571,9809,11526,12080,6742,13285,5036,17217,3,0.6666666666666666,0.5,3.419178082191781,45,40-49
" Zavala, Valeria     ",9022841383,1,0,5,21.599999999999998,19,MA,1984-07-07,2013-01-04,2015-12-12,more money,Voluntarily Terminated,16,Professional Society,Fully Meets,3,13850,13394,4147,8485,6845,11752,7511,9866,15709,10415,13121,6069,3,0.6666666666666666,0.5,2.936986301369863,40,40-49
" Sellers, Nola     ",9018941382,1,0,5,21.599999999999998,19,MA,1975-10-22,2015-02-16,,N/A - still employed,Active,16,Professional Society,Fully Meets,4,16006,12009,9319,9649,3251,3115,15103,19241,8435,18872,14850,2783,3,0.6666666666666666,0.75,9.578082191780823,48,40-49
" Fields, Andre     ",9012701381,1,0,5,21.599999999999998,19,MA,1986-04-17,2011-10-01,,N/A - still employed,Active,16,Website Banner Ads,Fully Meets,4,9480,19973,18087,3378,4635,5162,15244,13585,18400,13642,17898,1846,3,0.6666666666666666,0.75,12.95890410958904,38,30-39
" Hanson, Joel     ",9068291380,1,0,5,24.0,19,MA,1982-09-02,2012-05-14,,N/A - still employed,Active,16,Website Banner Ads,Fully Meets,4,10752,8094,2136,16432,19650,16283,12838,13137,13246,6356,12681,1573,3,0.6666666666666666,0.75,12.33972602739726,42,40-49
" Mendoza, Tony     ",9014591379,1,1,5,22.0,19,MA,1970-05-15,2011-07-11,,N/A - still employed,Active,16,Website Banner Ads,Fully Meets,4,15193,18571,17252,17553,11130,9345,3884,8540,13680,8722,16093,1424,3,0.6666666666666666,0.75,13.183561643835617,54,50-59
" Black, Jacqueline     ",9052021378,1,0,5,26.4,19,MA,1989-05-06,2014-02-17,,N/A - still employed,Active,16,Diversity Job Fair,Fully Meets,3,6376,5161,12000,6412,14612,11326,7927,14399,8878,1860,13863,15972,3,0.6666666666666666,0.5,10.575342465753424,35,30-39
" Mccullough, Denise     ",9012421377,0,0,5,18.0,19,MA,1978-11-05,2012-02-07,2015-07-09,unhappy,Voluntarily Terminated,16,Word of Mouth,Fully Meets,3,7301,7992,4376,15679,8370,13312,9191,11703,11962,4131,5504,3635,3,0.6666666666666666,0.5,3.419178082191781,45,40-49
" Tanner, Zain     ",9034491376,0,0,5,18.0,19,MA,1979-02-12,2014-12-05,,N/A - still employed,Active,16,Word of Mouth,Needs Improvement,3,13243,1942,7257,12814,1348,13137,15733,12174,13895,8937,14162,11401,2,0.3333333333333333,0.5,9.778082191780822,45,40-49
" Deleon, Richard     ",9007251375,0,0,5,18.0,19,MA,1970-10-27,2011-04-04,,N/A - still employed,Active,16,Word of Mouth,Fully Meets,3,16910,6088,14030,19019,6361,18239,18573,15475,19859,11100,3211,5625,3,0.6666666666666666,0.5,13.452054794520548,53,50-59
" Hayden, Carmelo     ",9033561374,1,0,5,18.0,19,MA,1988-09-27,2008-07-01,,N/A - still employed,Active,16,Search Engine - Google Bing Yahoo,Fully Meets,5,3292,19069,11736,13314,1075,14786,11409,18110,8305,2189,7030,12437,3,0.6666666666666666,1.0,16.21095890410959,35,30-39
" Pierce, Emilio     ",9021521373,1,0,5,25.2,19,MA,1978-08-17,2014-09-29,,N/A - still employed,Active,16,On-campus Recruiting,Fully Meets,5,6183,11813,18531,17769,3502,8744,17802,10232,8989,3745,19566,10427,3,0.6666666666666666,1.0,9.961643835616439,46,40-49
" Wood, Emerson     ",9069271372,1,0,5,25.2,19,MA,1983-05-16,2014-02-17,,N/A - still employed,Active,16,On-campus Recruiting,Fully Meets,5,5418,8232,4833,12939,18014,2850,15826,9821,3470,2815,17729,1717,3,0.6666666666666666,1.0,10.575342465753424,41,40-49
" Tran, Jayleen     ",9063761371,1,0,5,18.0,19,MA,1973-03-26,2013-05-13,,N/A - still employed,Active,14,Professional Society,Needs Improvement,5,11822,10414,3234,18049,16419,14710,11986,3796,10917,15410,9377,15912,2,0.3333333333333333,1.0,11.342465753424657,51,50-59
" Perry, Aydin     ",9093351370,1,0,5,20.4,19,MA,1974-12-05,2014-06-01,,N/A - still employed,Active,14,Professional Society,Needs Improvement,5,7792,2182,12482,13080,9645,5988,10170,12632,2108,16039,10898,14340,2,0.3333333333333333,1.0,10.29041095890411,49,40-49
" Casey, Jenna     ",9048161369,0,0,5,20.4,19,MA,1981-11-23,2007-05-11,,N/A - still employed,Active,14,Professional Society,Exceeds,3,5828,4927,2558,17648,2381,10595,12720,5869,4299,9343,4089,4627,4,1.0,0.5,17.353424657534248,42,40-49
" Bullock, Remington     ",9011411368,0,0,5,20.4,19,MA,1984-07-07,2013-08-07,,N/A - still employed,Active,14,Website Banner Ads,Fully Meets,3,7890,5068,19901,8289,7383,13806,5472,8199,3740,2487,14409,12477,3,0.6666666666666666,0.5,11.106849315068493,40,40-49
" Stewart, Delaney     ",9011381367,0,1,5,17.0,19,MA,1977-11-22,2011-05-31,,N/A - still employed,Active,14,Vendor Referral,Fully Meets,3,15545,2060,15821,1562,18896,8002,16291,5068,14149,14501,2382,8174,3,0.6666666666666666,0.5,13.295890410958904,46,40-49
" Jones, Saige     ",9005231366,1,1,5,17.0,19,MA,1986-12-09,2012-09-07,,N/A - still employed,Active,14,Vendor Referral,Fully Meets,5,2724,10936,11862,3043,1743,3795,10398,4424,18547,6643,9183,19056,3,0.6666666666666666,1.0,12.021917808219179,37,30-39
" Fritz, Camryn     ",9061231365,1,0,5,24.0,19,MA,1972-09-11,2012-05-11,,N/A - still employed,Active,14,Vendor Referral,Fully Meets,5,4873,15634,12068,3684,11923,3383,17306,18322,8774,10617,13544,12296,3,0.6666666666666666,1.0,12.347945205479451,52,50-59
" Lambert, Amanda     ",9078681364,1,0,5,24.0,19,MA,1979-05-21,2012-02-07,,N/A - still employed,Active,14,Newspager/Magazine,Fully Meets,5,18087,7398,12954,6607,9115,18730,1697,1564,11709,11252,18150,2574,3,0.6666666666666666,1.0,12.605479452054794,45,40-49
" Callahan, Winston     ",9051401363,1,1,5,19.0,19,MA,1985-09-15,2015-03-30,,N/A - still employed,Active,14,MBTA ads,Fully Meets,5,5408,6197,4954,15023,19501,15068,15694,7107,2545,13554,14350,7441,3,0.6666666666666666,1.0,9.463013698630137,39,30-39
" Lang, Maverick     ",9036231362,0,1,5,19.0,19,MA,1986-10-07,2012-02-04,,N/A - still employed,Active,14,MBTA ads,Fully Meets,5,19246,1664,2988,16834,7767,16210,15024,4541,13468,5939,13873,1482,3,0.6666666666666666,1.0,12.613698630136986,37,30-39
" Reid, Harold     ",9088231361,0,1,5,16.75,19,MA,1977-09-08,2013-08-07,,N/A - still employed,Active,14,Employee Referral,Fully Meets,3,9534,14951,13519,7219,15636,19650,18732,6289,14564,18889,16619,5576,3,0.6666666666666666,0.5,11.106849315068493,47,40-49
" York, Cindy     ",9038941360,0,0,5,24.0,19,MA,1990-08-24,2012-02-04,,N/A - still employed,Active,14,Employee Referral,Fully Meets,3,9685,15626,6476,6381,15627,14458,8972,10233,2801,19093,9910,18863,3,0.6666666666666666,0.5,12.613698630136986,34,30-39
" Cardenas, Breanna     ",9023191359,1,0,5,20.4,19,MA,1974-01-12,2011-10-01,2011-12-01,Another position,Voluntarily Terminated,14,Employee Referral,Fully Meets,5,6531,8814,18626,7818,8553,19644,19981,4474,4186,15049,18483,8519,3,0.6666666666666666,1.0,0.16712328767123288,50,50-59
" Blake, Tripp     ",9071941358,1,0,5,20.4,19,MA,1982-05-04,2008-02-09,2015-09-29,Another position,Voluntarily Terminated,14,Employee Referral,Fully Meets,4,6983,2228,13496,6484,1724,6287,10398,3484,11448,2315,11198,18972,3,0.6666666666666666,0.75,7.641095890410959,42,40-49
" Moon, Elaine     ",9059521357,1,0,5,26.4,19,MA,1967-06-05,2013-02-18,2015-10-25,unhappy,Voluntarily Terminated,14,Search Engine - Google Bing Yahoo,Fully Meets,4,13019,6233,14356,2186,5160,8250,7474,7097,16148,10152,5788,9190,3,0.6666666666666666,0.75,2.682191780821918,57,50-59
" Livingston, Camille     ",9049911356,1,0,5,19.2,19,MA,1968-07-20,2012-02-20,,N/A - still employed,Active,12,Search Engine - Google Bing Yahoo,Fully Meets,2,6738,13486,18805,14387,14328,12383,3973,4552,18563,12169,11105,18247,3,0.6666666666666666,0.25,12.56986301369863,56,50-59
" Colon, Lilianna     ",9051821355,1,0,5,19.2,19,MA,1985-01-28,2013-08-07,,N/A - still employed,Active,12,Billboard,Exceeds,2,7396,18584,12445,18253,7813,3835,13409,8810,14467,10040,16682,3478,4,1.0,0.25,11.106849315068493,39,30-39
" Patrick, Chaim     ",9086771354,1,1,5,17.0,19,MA,1988-03-06,2011-05-07,,N/A - still employed,Active,12,Billboard,Exceeds,3,3084,8447,6118,17937,2083,5740,17312,13975,16332,14008,19170,4090,4,1.0,0.5,13.361643835616439,36,30-39
" Castillo, Amara     ",9086191353,0,1,5,18.0,19,MA,1967-06-03,2013-01-04,,N/A - still employed,Active,12,Employee Referral,Exceeds,3,2172,3836,13006,18255,16027,7179,10352,9453,8718,12424,13858,7655,4,1.0,0.5,11.695890410958905,57,50-59
" Eaton, Joel     ",9052151352,0,1,5,18.0,19,MA,1974-11-07,2013-11-11,,N/A - still employed,Active,12,Employee Referral,Exceeds,3,14011,15483,14746,7321,14744,17295,13210,8876,10052,6305,8394,9531,4,1.0,0.5,10.843835616438357,49,40-49
" Walters, Priscilla     ",9079591351,0,0,5,25.2,19,MA,1980-02-02,2011-10-01,,N/A - still employed,Active,12,Search Engine - Google Bing Yahoo,Exceeds,3,17527,12211,19487,11945,18026,3802,3765,3508,14942,13129,6315,7855,4,1.0,0.5,12.95890410958904,44,40-49
" Leach, Nehemiah     ",9072431350,1,0,5,25.2,19,MA,1991-01-28,2013-08-19,,N/A - still employed,Active,12,On-campus Recruiting,Fully Meets,3,8342,5678,9739,10225,17431,12952,3173,15958,8216,3092,2748,2656,3,0.6666666666666666,0.5,11.073972602739726,33,30-39
" Huynh, Ashtyn     ",9091721349,0,0,5,19.2,19,MA,1969-09-29,2011-11-07,,N/A - still employed,Active,12,Pay Per Click - Google,Fully Meets,3,2918,16333,12508,8339,18016,19055,6937,11039,3939,19855,16841,9302,3,0.6666666666666666,0.5,12.857534246575343,54,50-59
" Reed, Tristen     ",9089561348,0,0,5,19.2,19,MA,1981-03-16,2012-09-01,,N/A - still employed,Active,12,Social Networks - Facebook Twitter etc,Fully Meets,3,13923,12818,12612,2898,2183,16883,6345,16925,1031,14117,10385,7385,3,0.6666666666666666,0.5,12.038356164383561,43,40-49
" Chandler, Braedon     ",9025031347,0,0,5,28.799999999999997,19,MA,1978-12-02,2013-07-01,,N/A - still employed,Active,12,Social Networks - Facebook Twitter etc,Fully Meets,4,17551,1375,8721,19673,8645,8285,8868,17192,12302,17187,8532,19323,3,0.6666666666666666,0.75,11.208219178082192,45,40-49
" Hancock, Nikolas     ",9009571346,0,0,5,28.799999999999997,19,MA,1980-08-26,2016-06-07,,N/A - Has not started yet,Active,12,Pay Per Click - Google,Fully Meets,4,18052,12256,6444,1134,14868,11144,10860,15589,13617,17751,10074,18593,3,0.6666666666666666,0.75,8.271232876712329,44,40-49
" Sanders, Demetrius     ",9009261345,1,0,5,28.799999999999997,19,MA,1989-09-01,2014-07-07,,N/A - still employed,Future Start,12,Pay Per Click - Google,Needs Improvement,4,11857,15815,1846,7378,11659,2708,1816,1929,8589,16899,17153,8444,2,0.3333333333333333,0.75,10.191780821917808,35,30-39
" Perry, Tiana     ",9039231344,1,0,5,26.4,19,MA,1970-02-11,2009-06-07,,N/A - still employed,Future Start,12,Pay Per Click - Google,Exceeds,3,4325,6951,18146,4665,13684,4257,16490,8815,12013,4421,4788,13691,4,1.0,0.5,15.276712328767124,54,50-59
" Pena, Rene     ",9038371343,1,0,5,26.4,19,MA,1965-09-09,2011-05-16,,N/A - still employed,Leave of Absence,12,Employee Referral,Exceeds,3,1093,5910,14236,2888,3437,6899,5070,7092,13341,8568,4597,17425,4,1.0,0.5,13.336986301369864,59,50-59
" Fox, Angelo     ",9096461342,0,0,5,26.4,19,MA,1965-05-09,2011-05-07,,N/A - still employed,Leave of Absence,12,Diversity Job Fair,Exceeds,3,7399,18206,7410,11696,10625,15014,3288,1660,15034,4040,1700,4945,4,1.0,0.5,13.361643835616439,59,50-59
" Salazar, Livia     ",9028051341,0,0,5,24.0,19,MA,1985-08-24,2013-08-19,,N/A - still employed,Leave of Absence,11,Diversity Job Fair,Fully Meets,3,10233,4598,17013,3396,6837,2273,19481,7193,4783,11628,13636,16703,3,0.6666666666666666,0.5,11.073972602739726,39,30-39
" Choi, Alana     ",9023401340,0,0,5,24.0,19,MA,1974-01-07,2011-10-01,2016-01-26,attendance,Voluntarily Terminated,11,Diversity Job Fair,Fully Meets,3,8987,7271,16199,10096,7922,19298,11646,4079,7709,18048,3447,4170,3,0.6666666666666666,0.5,4.323287671232877,50,50-59
" Lawson, Levi     ",9008941339,0,0,5,24.0,19,MA,1986-07-20,2011-05-16,2015-10-25,medical issues,Voluntarily Terminated,11,Billboard,Fully Meets,3,3638,17060,17936,19859,10017,11746,14740,2940,3868,13875,7087,2835,3,0.6666666666666666,0.5,4.446575342465754,38,30-39
" Black, Kane     ",9048571338,0,0,5,24.0,19,MA,1983-03-28,2013-01-04,2016-05-25,more money,Voluntarily Terminated,11,Billboard,Fully Meets,4,14671,7698,5712,10698,2880,3200,15805,18891,10834,19379,18554,11184,3,0.6666666666666666,0.75,3.389041095890411,41,40-49
" Weeks, Paola     ",9072311337,0,0,5,26.4,19,MA,1972-11-09,2012-09-24,2012-09-26,hours,Voluntarily Terminated,11,Billboard,Fully Meets,4,18380,8247,2375,9907,6938,11305,6524,3339,18387,6004,11105,6434,3,0.6666666666666666,0.75,0.005479452054794521,51,50-59
" Mack, Brooklynn     ",9081931336,0,0,5,18.0,19,MA,1970-10-08,2011-09-26,2012-09-01,more money,Voluntarily Terminated,11,Pay Per Click,Fully Meets,4,19998,1218,8353,6726,1146,6449,15342,3770,8878,12437,12007,15217,3,0.6666666666666666,0.75,0.9342465753424658,53,50-59
" Zamora, Darrell     ",9040491335,1,1,5,20.0,19,MA,1974-05-02,2014-12-05,2016-01-05,military,Voluntarily Terminated,11,Pay Per Click,Fully Meets,4,10714,7115,7305,5002,14589,17447,4266,9399,2457,11610,19490,1441,3,0.6666666666666666,0.75,1.084931506849315,50,50-59
" Warner, Irvin     ",9046871334,1,1,5,16.0,19,MA,1980-05-08,2014-09-29,2016-05-25,medical issues,Voluntarily Terminated,11,Pay Per Click,Fully Meets,4,2304,14410,9810,3042,15411,17940,10445,4836,19505,18141,8501,14015,3,0.6666666666666666,0.75,1.6547945205479453,44,40-49
" Castro, Dayton     ",9011941333,1,1,5,16.0,19,MA,1989-10-18,2015-11-05,,N/A - still employed,Active,11,Pay Per Click,Exceeds,5,6177,16573,17807,2119,18946,15418,15426,2294,4342,16830,13862,13150,4,1.0,1.0,8.860273972602739,34,30-39
" Mckay, Hailey     ",9048811332,1,0,5,24.0,19,MA,1967-04-19,2014-07-07,,N/A - still employed,Active,11,Pay Per Click,Exceeds,5,4041,11630,10567,15582,11819,18081,14832,18701,5477,5460,9769,1436,4,1.0,1.0,10.191780821917808,57,50-59
" Rowland, Jaquan     ",9079531331,1,0,5,24.0,19,MA,1983-08-27,2011-06-27,,N/A - still employed,Active,11,Professional Society,Exceeds,5,19788,9142,12836,13653,3811,7606,1545,2153,4589,6272,9386,14321,4,1.0,1.0,13.221917808219178,41,40-49
" Velez, David     ",9072361330,0,0,5,19.2,19,MA,1970-12-22,2012-02-04,,N/A - still employed,Active,11,Professional Society,Exceeds,5,19963,9374,11952,6838,6342,18926,10073,13053,3806,13487,8473,3248,4,1.0,1.0,12.613698630136986,53,50-59
" Patel, Joslyn     ",9044631329,0,0,5,19.2,19,MA,1977-05-22,2012-09-01,,N/A - still employed,Active,11,Professional Society,Exceeds,5,13584,2105,16606,15116,8058,9696,3165,2823,6725,4263,15277,5898,4,1.0,1.0,12.038356164383561,47,40-49
" Archer, Colt     ",9043031328,0,0,5,40.199999999999996,18,MA,1955-11-14,2011-09-26,,N/A - still employed,Active,11,Word of Mouth,Exceeds,4,3044,14883,12301,19590,12948,6243,3209,3165,16193,5576,6222,3099,4,1.0,0.75,12.972602739726028,68,60-69
" Cameron, Abbigail     ",9023171327,0,0,5,40.199999999999996,18,MA,1978-03-28,2009-08-01,,N/A - still employed,Active,11,Word of Mouth,Exceeds,3,5054,14704,3092,4943,5725,9910,11252,14956,1561,19520,10246,18861,4,1.0,0.5,15.126027397260273,46,40-49
" Holmes, Rhett     ",9043541326,0,0,5,53.0,18,MA,1975-12-17,2010-07-20,,N/A - still employed,Active,2,Word of Mouth,Fully Meets,3,2478,8331,16289,5114,15812,11269,6297,10398,10834,10062,17981,5902,3,0.6666666666666666,0.5,14.158904109589042,48,40-49
" David, Harold     ",9020231325,0,1,5,53.0,18,MA,1975-09-30,2012-02-10,,N/A - still employed,Active,2,Billboard,Fully Meets,4,7360,16519,6347,4521,1298,12434,17164,3554,4577,19645,19402,11752,3,0.6666666666666666,0.75,12.597260273972603,48,40-49
" Guerra, Terrell     ",9092241324,1,1,5,53.0,18,MA,1977-05-09,2010-10-25,,N/A - still employed,Active,2,Billboard,Fully Meets,5,17197,11011,17759,12108,17891,8444,19402,10759,16534,4513,6368,19052,3,0.6666666666666666,1.0,13.893150684931507,47,40-49
" Klein, Reginald     ",9009571323,1,0,5,53.0,18,MA,1981-08-10,2012-08-16,2016-01-05,unhappy,Voluntarily Terminated,2,Billboard,Fully Meets,5,13239,11418,9925,6387,9906,16461,10645,3333,19724,2539,8317,13160,3,0.6666666666666666,1.0,3.389041095890411,43,40-49
" Sloan, Marcos     ",9041061322,1,0,5,55.0,18,MA,1981-10-26,2013-09-30,,N/A - still employed,Active,2,Internet Search,Fully Meets,5,18830,7508,4566,9699,3202,10288,19646,6238,4110,1551,19542,9038,3,0.6666666666666666,1.0,10.95890410958904,42,40-49
" Hahn, Davion     ",9074951321,1,0,5,42.0,18,MA,1976-11-15,2011-02-21,,N/A - still employed,Active,2,Internet Search,Fully Meets,3,8439,8320,1773,16513,1483,18642,6112,1401,19449,6420,13595,9774,3,0.6666666666666666,0.5,13.567123287671233,47,40-49
" Phillips, Brice     ",9008011320,1,1,5,48.5,18,MA,1972-07-01,2011-10-01,,N/A - still employed,Active,2,Other,Fully Meets,3,6036,6142,19594,14601,8193,19318,11328,17001,10655,10553,13262,16661,3,0.6666666666666666,0.5,12.95890410958904,52,50-59
" Le, Alvaro     ",9078851319,1,1,5,48.5,18,MA,1981-07-11,2015-02-06,,N/A - still employed,Active,2,Employee Referral,Needs Improvement,3,19921,15448,1245,4233,18321,16441,8978,3535,13375,11998,6305,15013,2,0.3333333333333333,0.5,9.605479452054794,43,40-49
" Young, Darien     ",9049431318,0,0,5,51.0,18,MA,1973-11-28,2014-09-18,2015-06-25,relocation out of area,Terminated for Cause,2,Search Engine - Google Bing Yahoo,Needs Improvement,4,10986,19062,5159,19812,3955,5198,18213,12180,8496,14791,12254,19278,2,0.3333333333333333,0.75,0.7671232876712328,50,50-59
" Chung, Hayley     ",9057321317,0,0,5,55.0,18,MA,1983-08-09,2016-01-28,2016-01-05,retiring,Terminated for Cause,2,Search Engine - Google Bing Yahoo,Needs Improvement,4,14542,11596,16730,3675,6211,15776,16028,5855,1901,19156,8732,4437,2,0.3333333333333333,0.75,-0.06301369863013699,41,40-49
" Maldonado, Ellis     ",9008461316,0,0,5,55.0,18,MA,1970-03-10,2013-09-30,,N/A - still employed,Active,2,Search Engine - Google Bing Yahoo,Exceeds,4,13365,10101,3209,1965,10243,15549,6690,12447,10426,5608,17795,3009,4,1.0,0.75,10.95890410958904,54,50-59
" Ibarra, Alena     ",9044001315,0,0,5,55.0,17,MA,1968-10-10,2011-01-08,,N/A - still employed,Active,2,Search Engine - Google Bing Yahoo,Exceeds,3,16457,5400,16569,8812,1467,3189,12287,12203,8313,8596,1114,10708,4,1.0,0.5,13.687671232876712,55,50-59
" Davidson, Emily     ",9076711314,0,1,5,55.0,16,MA,1954-09-21,2012-02-07,2012-09-26,career change,Voluntarily Terminated,2,Search Engine - Google Bing Yahoo,Fully Meets,3,1047,8564,3749,7445,17804,15838,6978,16197,4235,11036,4531,10191,3,0.6666666666666666,0.5,0.6356164383561644,70,
" Stephens, Nickolas     ",9073111313,0,1,5,80.0,15,MA,1969-03-31,2015-03-30,,N/A - still employed,Active,2,Pay Per Click - Google,Fully Meets,3,11090,7530,19128,13845,19511,11094,13540,17705,9526,4506,4808,7648,3,0.6666666666666666,0.5,9.463013698630137,55,50-59
" Lopez, Oscar     ",9021951312,0,1,2,49.1,15,MA,1988-05-05,2015-05-01,,N/A - still employed,Active,7,Pay Per Click - Google,Fully Meets,3,3863,8542,12042,4112,1989,16279,7411,12850,9931,14365,8752,2688,3,0.6666666666666666,0.5,9.375342465753425,36,30-39
" Cook, Carter     ",9075281311,1,1,2,47.0,15,MA,1981-04-14,2014-09-30,,N/A - still employed,Active,7,Employee Referral,Fully Meets,3,14894,11142,18741,6399,3033,10541,8236,10647,2074,8725,10850,19394,3,0.6666666666666666,0.5,9.95890410958904,43,40-49
" Hanna, Liam     ",9085021310,1,1,3,27.0,15,MA,1979-04-04,2015-02-16,,N/A - still employed,Active,7,Employee Referral,Fully Meets,3,11638,5097,19672,5704,13954,5707,13040,18365,8986,5687,10646,18689,3,0.6666666666666666,0.5,9.578082191780823,45,40-49
" Pitts, Zara     ",9009831309,1,1,3,27.0,15,MA,1987-06-18,2015-03-30,,N/A - still employed,Active,7,Employee Referral,Fully Meets,3,18839,8295,19325,17243,5271,17298,10041,5272,18036,3603,13059,19239,3,0.6666666666666666,0.5,9.463013698630137,37,30-39
" Woodward, Abby     ",9030531308,1,1,3,39.0,14,MA,1981-04-16,2015-05-01,,N/A - still employed,Active,7,Vendor Referral,Fully Meets,3,7134,11210,9353,8222,13457,8820,8484,7976,14127,11824,7939,18706,3,0.6666666666666666,0.5,9.375342465753425,43,40-49
" Esparza, Litzy     ",9083081307,1,0,3,37.0,14,MA,1988-07-18,2015-05-01,,N/A - still employed,Active,7,Vendor Referral,Fully Meets,3,10198,17853,18136,7203,19107,12164,3096,13317,17903,3352,7824,19131,3,0.6666666666666666,0.5,9.375342465753425,36,30-39
" Brewer, Noemi     ",9087401306,1,0,3,42.0,14,MA,1989-11-24,2015-03-30,,N/A - still employed,Active,7,Vendor Referral,Fully Meets,4,3905,11928,14030,8067,19558,5990,11728,7075,8652,15948,18160,4337,3,0.6666666666666666,0.75,9.463013698630137,34,30-39
" Macdonald, Gilberto     ",9027561305,1,0,3,45.0,14,MA,1988-01-07,2015-05-01,,N/A - still employed,Active,7,Employee Referral,Fully Meets,4,2943,6036,8476,3119,13307,2127,11491,17359,4732,16012,19647,8608,3,0.6666666666666666,0.75,9.375342465753425,36,30-39
" Novak, Alessandra     ",9043801304,1,0,3,45.0,14,MA,1973-03-12,2011-10-06,,N/A - still employed,Active,6,Glassdoor,Fully Meets,5,7891,19135,3070,12945,15502,6471,1090,15178,3172,14569,1041,15480,3,0.6666666666666666,1.0,12.945205479452055,51,50-59
